,datetime,username,channel,message
204,2022-05-22T15:42:04.621508,mangosmoody,#loltyler1,KEKW
205,2022-05-22T15:42:05.310613,darkrafff,#loltyler1,KEKW
206,2022-05-22T15:42:05.310759,abdo_227,#loltyler1,flash KEKW
207,2022-05-22T15:42:05.473736,senior_gir,#loltyler1,poppussy Kreygasm poppussy Kreygasm poppussy Kreygasm poppussy Kreygasm poppussy Kreygasm poppussy Kreygasm poppussy Kreygasm
208,2022-05-22T15:42:05.474133,flox_,#loltyler1,KEKW
209,2022-05-22T15:42:05.474305,haruiswaifu,#loltyler1,KEKW
210,2022-05-22T15:42:05.474667,strangephysic,#loltyler1,ADC LUL
211,2022-05-22T15:42:05.635664,littlespo0n,#loltyler1,KEKW
212,2022-05-22T15:42:05.636022,flaming_granny,#loltyler1,maybe you're the problem Kappa
213,2022-05-22T15:42:08.198037,blackmood92,#loltyler1,OMEGALUL
214,2022-05-22T15:42:08.227031,sickdime,#loltyler1,ACTION ll NA SILVER = KR MASTERS KEKW NA SILVER = KR MASTERS KEKW NA SILVER = KR MASTERS KEKW NA SILVER = KR MASTERS KEKW NA SILVER = KR MASTERS KEKW
215,2022-05-22T15:42:08.227166,seandonp,#loltyler1,ADC KEKW
216,2022-05-22T15:42:08.227615,1v9sexhavergigachadsmurf,#loltyler1,KEKW
217,2022-05-22T15:42:08.227894,propaneaccessories69,#loltyler1,xD
218,2022-05-22T15:42:08.228023,valakino,#loltyler1,Sadge
219,2022-05-22T15:42:08.228401,theclutcher,#loltyler1,D:
220,2022-05-22T15:42:08.253019,gwen_ayaya,#loltyler1,ROLLED
221,2022-05-22T15:42:08.253772,ut_frozt,#loltyler1,"@hessy_613 Korea challanger = Na and Eu silver, factos"
222,2022-05-22T15:42:08.253906,allergic_towater,#loltyler1,KEKW
223,2022-05-22T15:42:08.343320,lunary211,#loltyler1,AHAHAHAHAHAHAHAHA HAH HAHA
224,2022-05-22T15:42:08.343603,slackeraven,#loltyler1,lol good flash /s
225,2022-05-22T15:42:08.343739,d4r000000000,#loltyler1,ggs
226,2022-05-22T15:42:08.343887,ninosaur,#loltyler1,flashed on KEKW
227,2022-05-22T15:42:08.344021,sefa_dj,#loltyler1,KEKL
228,2022-05-22T15:42:08.344176,winninggorilla,#loltyler1,HAWAHAWAW
229,2022-05-22T15:42:08.344308,mrsmith91,#loltyler1,You afk teamfight
230,2022-05-22T15:42:08.344769,chinchillersz,#loltyler1,IF YOUSEE THIS POT UP PotFriend
231,2022-05-22T15:42:08.833223,jekethh,#loltyler1,yeah every draven game probably bro
232,2022-05-22T15:42:08.995541,elliestar,#loltyler1,KEKW TEAMS FAULT
233,2022-05-22T15:42:09.157305,sefa_dj,#loltyler1,KEKW
234,2022-05-22T15:42:09.481685,pugmalone1,#loltyler1,KOREA READY BTW
235,2022-05-22T15:42:09.721688,sakuralite,#loltyler1,KEKW
236,2022-05-22T15:42:09.883520,nickthebawse,#loltyler1,!rank
237,2022-05-22T15:42:10.369939,scandalious,#loltyler1,rolled LULW
238,2022-05-22T15:42:10.533024,eclipsing115,#loltyler1,not true
239,2022-05-22T15:42:10.533293,fossabot,#loltyler1,"@Nickthebawse, ACCOUNTS: BIG TONKA T is currently Master I 113 LP"
240,2022-05-22T15:42:10.533492,doomdaey,#loltyler1,the server Copeler1
241,2022-05-22T15:42:10.534439,thregenbeck,#loltyler1,maybe you shouldnt play draven
242,2022-05-22T15:42:10.696884,kudaranai_,#loltyler1,i always thought korea was ths omega sklled server but after watchng the games u get in idk man KEKW
243,2022-05-22T15:42:11.022415,fergusx,#loltyler1,BigBrother BigBrother BigBrother BigBrother BigBrother BigBrother BigBrother BigBrother
244,2022-05-22T15:42:11.508151,mrsmith91,#loltyler1,Dog shit
245,2022-05-22T15:42:11.508392,spaceandenterkappa,#loltyler1,Sadge
246,2022-05-22T15:42:11.670242,juaxwolfs90,#loltyler1,Pog
247,2022-05-22T15:42:12.760438,zandew,#loltyler1,WAYTOODANK
248,2022-05-22T15:42:13.084576,sickdime,#loltyler1,ACTION lllklkl NA SILVER = KR MASTERS KEKW NA SILVER = KR MASTERS KEKW NA SILVER = KR MASTERS KEKW NA SILVER = KR MASTERS KEKW NA SILVER = KR MASTERS KEKW NA SILVER = KR MASTERS KEKW
249,2022-05-22T15:42:13.415299,raminhosd,#loltyler1,¯\_(ツ)_/¯
250,2022-05-22T15:42:13.589547,istrudderz,#loltyler1,waaaaa
251,2022-05-22T15:42:14.021373,darklycan51,#loltyler1,gapped KEKW
252,2022-05-22T15:42:14.183356,parvustitum,#loltyler1,widepeepoSad
253,2022-05-22T15:42:14.183673,wooswo,#loltyler1,PLAY XAYAH
254,2022-05-22T15:42:14.507611,ziiirx,#loltyler1,KEKW
